Frequency,Impedance,Real,Imaginer
f_mid (hz)        :34500
z_mid (ohm)       :1012.51
phase_mid (degree):0
r_mid (ohm)       :1012.51
c_mid (farad)     :0
w (kg)  :57
h (cm)  :169
y (yo)  :21
s (1/0) :1
z (ohm) :1012.51
ffm (kg):41.066
ffm (%) :72.0456
fm (kg) :15.934
fm (%)  :27.9544
tbw (kg):29.9782
tbw (%) :52.5933
Sweep frequency ... 
20000, 1025.37, 0.00, 89, 32, 94.58
21000, 991.36, 0.00, 98, 32, 103.09
22000, 1014.04, 0.00, 100, 34, 105.62
23000, 1025.22, 0.00, 104, 37, 110.39
24000, 1030.77, 0.00, 107, 41, 114.59
25000, 1004.92, 0.00, 111, 44, 119.40
26000, 1043.38, 0.00, 114, 48, 123.69
27000, 1018.23, 0.00, 119, 51, 129.47
28000, 994.83, 0.00, 125, 59, 138.22
29000, 1024.07, 0.00, 125, 59, 138.22
30000, 1026.79, 0.00, 129, 62, 143.13
31000, 1008.16, 0.00, 133, 67, 148.92
32000, 1013.72, 0.00, 136, 74, 154.83
33000, 1017.33, 0.00, 138, 75, 157.06
34000, 1022.80, 0.00, 139, 75, 157.94
35000, 1023.95, 0.00, 143, 82, 164.84
36000, 999.08, 0.00, 150, 93, 176.49
37000, 1046.41, 0.00, 147, 95, 175.03
38000, 1026.02, 0.00, 154, 96, 181.47
39000, 1021.56, 0.00, 155, 103, 186.10
40000, 1002.37, 0.00, 161, 109, 194.43
41000, 1016.96, 0.00, 160, 112, 195.30
42000, 1012.14, 0.00, 159, 116, 196.82
43000, 1032.07, 0.00, 163, 119, 201.82
44000, 1026.15, 0.00, 167, 128, 210.41
45000, 1009.53, 0.00, 169, 134, 215.68
46000, 1017.37, 0.00, 170, 139, 219.59
47000, 1016.77, 0.00, 171, 144, 223.56
48000, 1010.40, 0.00, 174, 148, 228.43
49000, 1011.24, 0.00, 173, 155, 232.28
50000, 1010.34, 0.00, 177, 160, 238.60
